"zn_nazev","m_nazev","m_druh","m_oznaceni","m_rok_od","m_rok_do","r_nazev","r_objem","r_palivo","r_jednotka","r_kw","r_kw_rpm","r_nm","r_nm_rpm","r_rok_od","r_rok_do"
"Alfa Romeo","145","o",NULL,NULL,NULL,"1,4 i.e. 16V T.SPARK","1370","b","BOSCH M1.5.5","76","6300","124","4600",NULL,NULL
"Alfa Romeo","145","o",NULL,NULL,NULL,"1,6 i.e. 16V T.SPARK","1598","b","BOSCH M1.5.5","88","6300","144","4500",NULL,NULL
"Alfa Romeo","145","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C","77","4000","255","2000",NULL,NULL
"Alfa Romeo","145","o",NULL,NULL,NULL,"2,0 16V Quadrifoglio","1970","b","BOSCH M1.5.5","114","6400","187","3500",NULL,NULL
"Alfa Romeo","146","o",NULL,NULL,NULL,"1,4 i .e. 16V T.SPARK","1370","b","BOSCH M2.10.4","76","6300","124","4600",NULL,NULL
"Alfa Romeo","146","o",NULL,NULL,NULL,"1,6 i.e. 16V T.SPARK","1598","b","BOSCH M2.10.4","88","6300","144","4500",NULL,NULL
"Alfa Romeo","146","o",NULL,NULL,NULL,"1,8 i.e. 16V T.SPARK","1747","b","BOSCH M2.10.4","106","6500","169","3500",NULL,NULL
"Alfa Romeo","146","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C","77","4000","255","2000",NULL,NULL
"Alfa Romeo","146","o",NULL,NULL,NULL,"2,0 16V T.SPARK","1970","b","BOSCH M2.10.3","110","6200","186","4000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,6 16V T.SPARK","1598","b","BOSCH ME7.3.1","77","5600","140","4200",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,6 16V T.SPARK","1598","b","BOSCH ME7.3.1","88","6200","146","4200",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C7","74","4000","200","2000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C7","85","4000","275","2000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,9 JTD M-Jet","1910","n",,"88","4000","280","2000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,9 JTD 16V","1910","n","BOSCH EDC 16C8","103","4000","305","2000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"1,9 JTD 16V Q2","1910","n","BOSCH EDC 16C39-4.5x","110","4000","305","2000",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"2,0 16V T.SPARK","1970","b","BOSCH ME7.3.1","110","6200","181","3800",NULL,NULL
"Alfa Romeo","147","o",NULL,NULL,NULL,"3,2 GTA V6 24V","3179","b","BOSCH ME7.3.1","184","6200","300","4800",NULL,NULL
"Alfa Romeo","155","o",NULL,NULL,NULL,"1,7 16V TS","1747","b","BOSCH M2.10.4","103","6500","169","4000",NULL,NULL
"Alfa Romeo","155","o",NULL,NULL,NULL,"2,0 16V Turbo Q4","1995","b","MARELLI 101.03","140","6000","291","2500",NULL,NULL
"Alfa Romeo","155","o",NULL,NULL,NULL,"2,0 16V T.SPARK","1970","b","BOSCH M2.10.3","110","6200","187","4000",NULL,NULL
"Alfa Romeo","155","o",NULL,NULL,NULL,"2,5 TD","2499","n","BOSCH MS A11","92","4200","294","2000",NULL,NULL
"Alfa Romeo","155","o",NULL,NULL,NULL,"2,5 V6","2492","b","BOSCH M1.7","121","5800","216","4500",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,6 16V T.SPARK","1598","b","BOSCH M1.5.5","88","6200","146","4200",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,8 16V T.SPARK","1747","b","BOSCH 16C8","103","6500","163","3900",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,8 16V T.SPARK","1747","b","BOSCH M1.5.5","106","6500","169","3500",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C","77","4000","255","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C7","81","4000","275","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,9 JTD","1910","n","BOSCH EDC 15C7","85","4000","275","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"1,9 JTD 16V","1910","n","BOSCH EDC 16C8","103","4000","305","2000",NULL,NULL
"Alfa Romeo","156 Sportwagon","o",NULL,NULL,NULL,"1,9 JTD 16V Q4","1910","n","BOSCH 16C8","110","4000","305","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,0 16V T.SPARK","1970","b","BOSCH ME7.3.1","110","6300","181","3800",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,0 16V T.SPARK","1970","b","BOSCH M1.5.5","114","6400","187","3500",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,0 JTS","1970","b","BOSCH MED7.1.1","122","6400","206","3250",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,4 JTD","2387","n","BOSCH EDC 15C","100","4000","304","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,4 JTD","2387","n","BOSCH 16C8","103","4000","304","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,4 JTD","2387","n","BOSCH EDC 15C7","110","4000","305","1800",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,4 JTD","2387","n","BOSCH EDC 16C8","129","4000","385","2000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"2,5 V6 24V","2492","b","BOSCH ME2.1","141","6300","218","5000",NULL,NULL
"Alfa Romeo","156","o",NULL,NULL,NULL,"3,2 GTA","3179","b","BOSCH ME7.3.1","184","6200","300","4800",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"1,9 JTD M-Jet 8V","1910","n","BOSCH EDC 16+","88","4000","280","2000",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"1,9 JTD M-Jet 16V","1910","n","BOSCH EDC 16+","110","4000","320","2000",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"1,9 JTS","1859","b","BOSCH EDC 16+","118","6500","190","4500",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"2,2 JTS","2198","b","BOSCH EDC 16+","136","6500","230","4500",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"2,4 JTD M-Jet 20V","2387","n","BOSCH EDC 16+","147","4000","400","2000",NULL,NULL
"Alfa Romeo","159","o",NULL,NULL,NULL,"3,2 JTS Q4","3195","b",,"191","6200","322","4500",NULL,NULL
"Alfa Romeo","164","o",NULL,NULL,NULL,"2,0  T.SPARK","1995","b","BOSCH ML4.1","109","5800","187","4000",NULL,NULL
"Alfa Romeo","164","o",NULL,NULL,NULL,"3,0 V6","2959","b","BOSCH M1.7","132","5600","252","4000",NULL,NULL
"Alfa Romeo","166","o",NULL,NULL,NULL,"2,0 T.SPARK","1970","b","BOSCH ME7.3.1","110","6300","181","3800",NULL,NULL
